# Published eigenvalues of the BRS combustor network model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.8, the one-to-one counterpart of Figure 7
# of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017) 3835-3842.
# The dissertation figure is vector graphics; coordinates are read from the drawing
# commands with the axis gridlines as calibration (residual < 0.01 Hz), so unlike a
# raster digitization the values carry no pixel quantization.
# Growth rate follows the reference's convention sigma/(2*pi) with s = sigma + j*omega.
# 'sweep' points sample the eigenvalue tracks as the outlet reflection is
# lowered from the fully reflective open end (R = -1) to non-reflective (R = 0).
kind,growth_hz,frequency_hz
sweep,-25.09,314.74
sweep,-9.23,314.85
sweep,-24.67,314.91
sweep,-8.57,315.03
sweep,-24.09,315.15
sweep,-8.06,315.16
sweep,-7.67,315.25
sweep,-7.37,315.32
sweep,-7.14,315.37
sweep,-6.95,315.42
sweep,-6.81,315.45
sweep,-6.70,315.48
sweep,-6.61,315.49
sweep,-6.54,315.51
sweep,-6.48,315.52
sweep,-6.44,315.53
sweep,-6.40,315.54
sweep,-6.37,315.55
sweep,-6.35,315.55
sweep,-6.34,315.55
sweep,-6.32,315.55
sweep,-23.25,315.56
sweep,-6.31,315.56
sweep,-6.30,315.56
sweep,-6.30,315.56
sweep,-6.29,315.56
sweep,-6.29,315.56
sweep,-6.28,315.56
sweep,-6.28,315.56
sweep,-6.28,315.56
sweep,-6.28,315.56
sweep,-6.28,315.56
sweep,-6.27,315.56
sweep,-6.27,315.56
sweep,-6.27,315.56
sweep,-6.27,315.56
sweep,-6.27,315.56
sweep,-22.03,316.40
sweep,-20.83,318.40
sweep,-20.75,320.88
sweep,-21.25,323.17
sweep,-22.07,325.36
sweep,-23.15,327.55
sweep,-24.54,329.78
sweep,-26.31,332.07
sweep,-28.54,334.38
sweep,-31.34,336.63
sweep,-34.15,338.34
sweep,-34.81,338.67
sweep,-35.53,339.00
sweep,-36.88,339.57
sweep,-38.20,340.03
sweep,-38.95,340.26
sweep,-39.47,340.41
sweep,-40.27,340.60
sweep,-40.71,340.70
sweep,-41.91,340.94
sweep,-43.06,341.12
sweep,-43.63,341.20
sweep,-44.16,341.26
sweep,-45.23,341.36
sweep,-46.16,341.42
sweep,-46.26,341.42
sweep,-47.26,341.46
sweep,-49.16,341.49
sweep,-48.66,341.49
sweep,-48.22,341.49
